name,source,region,number_of_games,start_date,end_date
OGN Champions Preseason 2015,https://gol.gg/tournament/tournament-stats/OGN%20Champions%20Preseason%202015/,KR,36,2014-12-03,2014-12-20
IEM San Jose 2014,https://gol.gg/tournament/tournament-stats/IEM%20San%20Jose%202014/,WR,12,2014-12-06,2014-12-07
IEM Oakland 2016,https://gol.gg/tournament/tournament-stats/IEM%20Oakland%202016/,WR,14,2016-11-19,2016-11-21
World Championship 2016,https://gol.gg/tournament/tournament-stats/World%20Championship%202016/,WR,77,2016-09-29,2016-10-30
NA Regional Qualifiers 2016,https://gol.gg/tournament/tournament-stats/NA%20Regional%20Qualifiers%202016/,NA,10,2016-09-03,2016-09-05
EU Regional Qualifiers 2016,https://gol.gg/tournament/tournament-stats/EU%20Regional%20Qualifiers%202016/,EUW,11,2016-09-03,2016-09-05
LMS Regional Qualifiers 2016,https://gol.gg/tournament/tournament-stats/LMS%20Regional%20Qualifiers%202016/,TW,11,2016-09-02,2016-09-04
IWC Qualifier 2016,https://gol.gg/tournament/tournament-stats/IWC%20Qualifier%202016/,WR,38,2016-08-24,2016-09-04
LCK Regional Qualifiers 2016,https://gol.gg/tournament/tournament-stats/LCK%20Regional%20Qualifiers%202016/,KR,14,2016-08-29,2016-09-03
LPL Regional Qualifiers 2016,https://gol.gg/tournament/tournament-stats/LPL%20Regional%20Qualifiers%202016/,CN,15,2016-08-27,2016-08-28
NA LCS Summer Playoffs 2016,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Summer%20Playoffs%202016/,NA,25,2016-08-13,2016-08-28
EU LCS Summer Playoffs 2016,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Summer%20Playoffs%202016/,EUW,24,2016-08-13,2016-08-28
LCK Spring Promo 2017,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Promo%202017/,KR,14,2016-08-22,2016-08-27
LPL Summer Playoffs 2016,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Playoffs%202016/,CN,32,2016-08-10,2016-08-26
LMS Summer Playoffs 2016,https://gol.gg/tournament/tournament-stats/LMS%20Summer%20Playoffs%202016/,TW,11,2016-08-17,2016-08-21
LCK Summer Playoffs 2016,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Playoffs%202016/,KR,15,2016-08-08,2016-08-20
NA LCS 2017 Spring Promo,https://gol.gg/tournament/tournament-stats/NA%20LCS%202017%20Spring%20Promo/,NA,14,2016-08-04,2016-08-07
EU LCS 2017 Spring Promo,https://gol.gg/tournament/tournament-stats/EU%20LCS%202017%20Spring%20Promo/,EUW,18,2016-08-04,2016-08-07
LPL Summer 2016,https://gol.gg/tournament/tournament-stats/LPL%20Summer%202016/,CN,232,2016-05-26,2016-08-07
